87,31,Tomohon,2018-10-20 00:00:00.000,system,NULL,NULL
88,31,z Other City,2018-10-21 00:00:00.000,system,NULL,NULL
89,31,z Outside Kabupaten,2018-10-22 00:00:00.000,system,NULL,NULL
90,31,z Outside Propinsi,2018-10-23 00:00:00.000,system,NULL,NULL
91,34,Bau-Bau,2018-10-24 00:00:00.000,system,NULL,NULL
92,34,Bombana,2018-10-25 00:00:00.000,system,NULL,NULL
93,34,Buton,2018-10-26 00:00:00.000,system,NULL,NULL
94,34,Buton Selatan,2018-10-27 00:00:00.000,system,NULL,NULL
95,34,Buton Tengah,2018-10-28 00:00:00.000,system,NULL,NULL
96,34,Buton Utara,2018-10-29 00:00:00.000,system,NULL,NULL
97,34,Kendari,2018-10-30 00:00:00.000,system,NULL,NULL
98,34,Kolaka,2018-10-31 00:00:00.000,system,NULL,NULL
99,34,Kolaka Timur,2018-11-01 00:00:00.000,system,NULL,NULL
100,34,Kolaka Utara,2018-11-02 00:00:00.000,system,NULL,NULL
101,34,Konawe,2018-11-03 00:00:00.000,system,NULL,NULL
102,34,Konawe Kepulauan,2018-11-04 00:00:00.000,system,NULL,NULL
103,34,Konawe Selatan,2018-11-05 00:00:00.000,system,NULL,NULL
104,34,Konawe Utara,2018-11-06 00:00:00.000,system,NULL,NULL
105,34,Muna,2018-11-07 00:00:00.000,system,NULL,NULL
106,34,Muna Barat,2018-11-08 00:00:00.000,system,NULL,NULL
107,34,Wakatobi,2018-11-09 00:00:00.000,system,NULL,NULL
108,34,z Other City,2018-11-10 00:00:00.000,system,NULL,NULL
109,34,z Outside Kabupaten,2018-11-11 00:00:00.000,system,NULL,NULL
110,34,z Outside Propinsi,2018-11-12 00:00:00.000,system,NULL,NULL
111,36,Banggai,2018-11-13 00:00:00.000,system,NULL,NULL
112,36,Banggai Kepulauan,2018-11-14 00:00:00.000,system,NULL,NULL
113,36,Banggai Laut,2018-11-15 00:00:00.000,system,NULL,NULL
114,36,Buol,2018-11-16 00:00:00.000,system,NULL,NULL
115,36,Donggala,2018-11-17 00:00:00.000,system,NULL,NULL
116,36,Morowali,2018-11-18 00:00:00.000,system,NULL,NULL
117,36,Morowali Utara,2018-11-19 00:00:00.000,system,NULL,NULL
118,36,Palu,2018-11-20 00:00:00.000,system,NULL,NULL
119,36,Parigi Moutong,2018-11-21 00:00:00.000,system,NULL,NULL
120,36,Poso,2018-11-22 00:00:00.000,system,NULL,NULL
121,36,Sigi,2018-11-23 00:00:00.000,system,NULL,NULL
122,36,Tojo Una-Una,2018-11-24 00:00:00.000,system,NULL,NULL
123,36,Toli-Toli,2018-11-25 00:00:00.000,system,NULL,NULL
124,36,z Other City,2018-11-26 00:00:00.000,system,NULL,NULL
125,36,z Outside Kabupaten,2018-11-27 00:00:00.000,system,NULL,NULL
126,36,z Outside Propinsi,2018-11-28 00:00:00.000,system,NULL,NULL
127,23,Ogan Komering Ilir,2018-09-30 00:00:00.000,system,NULL,NULL
128,23,Ogan Komering Ulu,2018-10-01 00:00:00.000,system,NULL,NULL
129,23,Ogan Komering Ulu Selatan,2018-10-02 00:00:00.000,system,NULL,NULL
130,23,Ogan Komering Ulu Timur,2018-10-03 00:00:00.000,system,NULL,NULL
131,23,Pagar Alam,2018-10-04 00:00:00.000,system,NULL,NULL
132,23,Palembang,2018-10-05 00:00:00.000,system,NULL,NULL
