51,26,60,2660,2,MLG-Return All,0,2018-02-27 13:49:02.323,,NULL,,0,0.000,0.000,0.000
52,27,60,2760,2,MDN-Return All,0,2018-02-27 13:49:02.377,,NULL,,0,0.000,0.000,0.000
53,28,60,2860,2,MKS-Return All,0,2018-02-27 13:49:02.423,,NULL,,0,0.000,0.000,0.000
54,29,60,2960,2,LPG-Return All,0,2018-02-27 13:49:02.477,,NULL,,0,0.000,0.000,0.000
55,30,60,3060,2,PTN-Return All,0,2018-02-27 13:49:02.527,,NULL,,0,0.000,0.000,0.000
56,31,60,3160,2,MND-Return All,0,2018-02-27 13:49:02.577,,NULL,,0,0.000,0.000,0.000
57,32,60,3260,2,BGR-Return All,0,2018-02-27 13:49:02.627,,NULL,,0,0.000,0.000,0.000
58,33,60,3360,2,JMB-Return All,0,2018-02-27 13:49:02.677,,NULL,,0,0.000,0.000,0.000
59,34,60,3460,2,KND-Return All,0,2018-02-27 13:49:02.727,,NULL,,0,0.000,0.000,0.000
60,35,60,3560,2,TRK-Return All,0,2018-02-27 13:49:02.777,,NULL,,0,0.000,0.000,0.000
61,36,60,3660,2,PAL-Return All,0,2018-02-27 13:49:02.823,,NULL,,0,0.000,0.000,0.000
62,37,60,3760,2,BTM-Return All,0,2018-02-27 13:49:02.877,,NULL,,0,0.000,0.000,0.000
63,38,60,3860,2,SRG-Return All,0,2018-02-27 13:49:02.927,,NULL,,0,0.000,0.000,0.000
64,39,60,3960,2,JBR-Return All,0,2018-02-27 13:49:02.983,,NULL,,0,0.000,0.000,0.000
65,40,60,4060,2,ACH-Return All,0,2018-02-27 13:49:03.033,,NULL,,0,0.000,0.000,0.000
66,41,60,4160,2,KRW-Return All,0,2018-02-27 13:49:03.087,,NULL,,0,0.000,0.000,0.000
67,80,60,8060,2,HUB-Return All,0,2018-02-27 13:49:03.137,,NULL,,0,0.000,0.000,0.000
139,10,90,1090,3,HYP-Intransit BR,0,2018-03-12 00:12:26.950,,NULL,,1,0.000,0.000,0.000
140,11,90,1190,3,JKT-Intransit BR,0,2018-03-12 00:12:27.060,,NULL,,1,0.000,0.000,0.000
141,12,90,1290,3,JF-Intransit BR,0,2018-03-12 00:12:27.193,,NULL,,1,0.000,0.000,0.000
142,13,90,1390,3,BDG-Intransit BR,0,2018-03-12 00:12:27.293,,NULL,,1,0.000,0.000,0.000
143,14,90,1490,3,CRB-Intransit BR,0,2018-03-12 00:12:27.390,,NULL,,1,0.000,0.000,0.000
144,15,90,1590,3,SMG-Intransit BR,0,2018-03-12 00:12:27.487,,NULL,,1,0.000,0.000,0.000
145,16,90,1690,3,YGY-Intransit BR,0,2018-03-12 00:12:27.617,,NULL,,1,0.000,0.000,0.000
146,17,90,1790,3,PWK-Intransit BR,0,2018-03-12 00:12:27.710,,NULL,,1,0.000,0.000,0.000
147,18,90,1890,3,KDR-Intransit BR,0,2018-03-12 00:12:27.810,,NULL,,1,0.000,0.000,0.000
148,19,90,1990,3,SBY-Intransit BR,0,2018-03-12 00:12:27.910,,NULL,,1,0.000,0.000,0.000
149,20,90,2090,3,DPS-Intransit BR,0,2018-03-12 00:12:28.003,,NULL,,1,0.000,0.000,0.000
150,21,90,2190,3,SMR-Intransit BR,0,2018-03-12 00:12:28.120,,NULL,,1,0.000,0.000,0.000
151,22,90,2290,3,BJR-Intransit BR,0,2018-03-12 00:12:28.220,,NULL,,1,0.000,0.000,0.000
152,23,90,2390,3,PLB-Intransit BR,0,2018-03-12 00:12:28.320,,NULL,,1,0.000,0.000,0.000
153,24,90,2490,3,PDG-Intransit BR,0,2018-03-12 00:12:28.413,,NULL,,1,0.000,0.000,0.000
154,25,90,2590,3,PKB-Intransit BR,0,2018-03-12 00:12:28.510,,NULL,,1,0.000,0.000,0.000
155,26,90,2690,3,MLG-Intransit BR,0,2018-03-12 00:12:28.607,,NULL,,1,0.000,0.000,0.000
156,27,90,2790,3,MDN-Intransit BR,0,2018-03-12 00:12:28.703,,NULL,,1,0.000,0.000,0.000
157,28,90,2890,3,MKS-Intransit BR,0,2018-03-12 00:12:28.870,,NULL,,1,0.000,0.000,0.000
158,29,90,2990,3,LPG-Intransit BR,0,2018-03-12 00:12:28.990,,NULL,,1,0.000,0.000,0.000
159,30,90,3090,3,PTN-Intransit BR,0,2018-03-12 00:12:29.090,,NULL,,1,0.000,0.000,0.000
160,31,90,3190,3,MND-Intransit BR,0,2018-03-12 00:12:29.190,,NULL,,1,0.000,0.000,0.000
161,32,90,3290,3,BGR-Intransit BR,0,2018-03-12 00:12:29.300,,NULL,,1,0.000,0.000,0.000
162,33,90,3390,3,JMB-Intransit BR,0,2018-03-12 00:12:29.393,,NULL,,1,0.000,0.000,0.000
163,34,90,3490,3,KND-Intransit BR,0,2018-03-12 00:12:29.500,,NULL,,1,0.000,0.000,0.000
164,35,90,3590,3,TRK-Intransit BR,0,2018-03-12 00:12:29.620,,NULL,,1,0.000,0.000,0.000
165,36,90,3690,3,PAL-Intransit BR,0,2018-03-12 00:12:29.723,,NULL,,1,0.000,0.000,0.000
166,37,90,3790,3,BTM-Intransit BR,0,2018-03-12 00:12:29.827,,NULL,,1,0.000,0.000,0.000
167,38,90,3890,3,SRG-Intransit BR,0,2018-03-12 00:12:29.923,,NULL,,1,0.000,0.000,0.000
168,39,90,3990,3,JBR-Intransit BR,0,2018-03-12 00:12:30.060,,NULL,,1,0.000,0.000,0.000
169,40,90,4090,3,ACH-Intransit BR,0,2018-03-12 00:12:30.183,,NULL,,1,0.000,0.000,0.000
170,41,90,4190,3,KRW-Intransit BR,0,2018-03-12 00:12:30.283,,NULL,,1,0.000,0.000,0.000
171,80,90,8090,3,HUB-Intransit BR,0,2018-03-12 00:12:30.387,,NULL,,1,0.000,0.000,0.000
172,10,93,1093,4,HYP-Intransit DS,0,2018-03-12 00:12:30.490,,NULL,,1,0.000,0.000,0.000
173,11,93,1193,4,JKT-Intransit DS,0,2018-03-12 00:12:30.590,,NULL,,1,0.000,0.000,0.000
174,12,93,1293,4,JF-Intransit DS,0,2018-03-12 00:12:30.690,,NULL,,1,0.000,0.000,0.000
175,13,93,1393,4,BDG-Intransit DS,0,2018-03-12 00:12:30.803,,NULL,,1,0.000,0.000,0.000
176,14,93,1493,4,CRB-Intransit DS,0,2018-03-12 00:12:30.910,,NULL,,1,0.000,0.000,0.000
177,15,93,1593,4,SMG-Intransit DS,0,2018-03-12 00:12:31.017,,NULL,,1,0.000,0.000,0.000
178,16,93,1693,4,YGY-Intransit DS,0,2018-03-12 00:12:31.113,,NULL,,1,0.000,0.000,0.000
