43,S,PT. SEJAHTERA BERSAMA TRANSINDO,,S27,JL. AMAL LUHUR NO. 125,NULL,,,,,,,,,,NULL,SYSTEM,2019-03-26 10:28:37.413,27wmsadm1,1,27
44,Y,PT. YUDHA ANTAR NUSA,,Y30,"Jl. Kom Yos Sudarso Samping Toko Sinar Logam, Pontianak",NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,30
45,A,Sanjaya,,A33,,NULL,,,,,,,,,,NULL,SYSTEM,NULL,,1,33
46,M,MERPATI ELECTRONIC (RYAN KURNIA HANAFI),,M16,JL MERPATI BARAT III / NO.8 SEMARANG,NULL,,,,,,,NULL,NULL,NULL,2019-01-07 13:10:40.497,16wmsadm1,2019-01-07 13:11:52.973,16wmsadm1,1,16
47,N,NURHIDAYAT,,N36,,NULL,,,,,,,NULL,NULL,NULL,2019-02-12 14:51:30.443,36wmsadm1,2019-02-23 12:42:14.787,36wmsadm1,1,36
52,M,SINAR MANDIRI,,M36,,NULL,,,,,,,NULL,NULL,NULL,2019-02-21 11:48:29.797,36wmsadm1,NULL,NULL,1,36
59,F,CV FAUZI EKSPRESS,,F23,JL ALAMSYAH RATU PRAWIRANEGARA NO 72 E RT 05 RW 02 KEL BUKIT BARU KEC ILIR BARAT 1 PALEMBANG,NULL,,,,,,,NULL,NULL,NULL,2019-03-15 16:58:07.640,23wmsadm1,NULL,NULL,1,23
61,S,SHARP CABANG SERANG,,S38,,NULL,,,,,,,NULL,NULL,NULL,2019-03-18 10:02:10.673,38wmsadm1,NULL,NULL,1,38
62,K,PT. KARYA PRIMA NUSANTARA,,K21,"RUKO SENTRA SAMARINDA SEBERANG JL. BUNGTOMO NO.30, KEL. SEI KELEDANG KEC SAMARINDA SEBERANG SAMARINDA - INDONESIA",NULL,0541-7269945,,,5417269945,,,NULL,NULL,NULL,2019-03-18 11:07:57.730,21wmsadm1,NULL,NULL,1,21
63,1,PROMOSI SEID,,127,JL. AMAL LUHUR NO. 125,NULL,,,,,,,NULL,NULL,NULL,2019-03-20 13:53:30.563,27wmsadm1,NULL,NULL,1,27
64,2,SERVICE SEID,,227,JL. AMAL LUHUR NO. 125,NULL,,,,,,,NULL,NULL,NULL,2019-03-20 13:54:08.050,27wmsadm1,NULL,NULL,1,27
66,T,TJOA BIENG AN,,T16,JAGALAN TIMUR NO 214 RT 004/003 JAGALAN SEMARANG TENGAH SEMARANG JAWA TENGAH,NULL,,,,,,,NULL,NULL,NULL,2019-05-31 09:07:30.707,16wmsadm1,NULL,NULL,1,16
67,P,CV. PUTRA LESMANA,,P30,JL. PUTRI CANDRAMIDI GG. EKAJAYA NO. 40 PONTIANAK,NULL,,,,,,,NULL,NULL,NULL,2019-06-19 14:07:02.657,30WMSADM1,2019-06-19 14:09:00.010,30WMSADM1,1,30
71,T,"TUNAS KREASI PERKASA LOGISTIK, PT",,T28,,NULL,,,,,,,NULL,NULL,NULL,2019-07-22 10:24:15.950,28wmsadm1,NULL,NULL,1,28
72,W,"WINDU DJAYA UTAMA, PT.",,W31,,NULL,,,,,,,NULL,NULL,NULL,2020-01-10 10:37:17.533,31wmsadm1,NULL,NULL,1,31
74,D,PT.DARTA RIAG EXIMINDO,,D91,RUKO BANDAR MAS BLOK G NO.3A SEI PANAS,NULL,,,,,,,NULL,NULL,NULL,2020-01-21 10:48:58.697,91wmsadm2,NULL,NULL,1,91
76,P,PUTRA NAGITA PRATAMA,,P92,JL. BRAWIJAYA NO 110B SWETA MATARAM,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 14:18:18.477,92wmsadm1,2020-04-24 08:44:28.297,92wmsadm2,1,92
78,P,PUTRA NAGITA PRATAMA,,P93,1000 CBD KENCANA-JL. MAYOR SL TOBING NO 161 MANGKUBUMI TASIKMALAYA-JAWA BARAT. JAWA BARAT,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 13:23:17.157,93wmsadm1,2020-01-17 13:23:54.033,93wmsadm1,1,93
80,T,"TRISILA , CV.",,T80,JL. KUTISARI BESAR NO. 12 RT.008 RW.005 SIWALAN KERTO SURABAYA,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 16:41:35.727,logadmsby1,NULL,NULL,1,80
81,D,"DUNIA PARCEL EXPRESS, PT.",,D80,JL. MAYJEN SUNGKONO NO.204 RT.003 RW.004 DUKUH PAKIS SURABAYA,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 16:42:06.853,logadmsby1,NULL,NULL,1,80
82,S,"SINAR SURYA TRANS, PT.",,S80,KWENI RT.003 RW. 002 ANGGASWANGI KAB. SIDOARJO,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 16:43:10.243,logadmsby1,NULL,NULL,1,80
83,J,"SARIJASA TRANSUTAMA, PT.",,J80,,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 16:43:37.593,logadmsby1,NULL,NULL,1,80
84,M,"MILLENNIUM TRANS BAHARI, PT.",,M80,JL. LAKSDA M NAZIR NO.29 BLOK G-37 SURABAYA,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 16:44:05.533,logadmsby1,NULL,NULL,1,80
85,W,"WINDU JAYA UTAMA, PT.",,W80,,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 16:44:55.680,logadmsby1,NULL,NULL,1,80
86,L,"WALUYO LINTAS NUSANTARA, PT.",,L80,,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 16:45:46.747,logadmsby1,NULL,NULL,1,80
87,O,"SOLA MUTIARA, PT.",,O80,,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 16:46:17.653,logadmsby1,NULL,NULL,1,80
88,P,"PUTRA NAGITA PRATAMA, PT.",,P80,,NULL,,,,,,,NULL,NULL,NULL,2020-01-17 16:47:04.420,logadmsby1,NULL,NULL,1,80
