42,703,GATE NO.7-C SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 07:58:11.170,mis,NULL,NULL
43,704,GATE NO.7-D SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 07:58:28.780,mis,NULL,NULL
44,802,GATE NO.8-B SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 07:58:46.167,mis,NULL,NULL
45,803,GATE NO.8-C SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 07:59:08.210,mis,NULL,NULL
46,804,GATE NO.8-D SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 07:59:25.950,mis,NULL,NULL
47,902,GATE NO.9-B SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 07:59:42.080,mis,NULL,NULL
48,903,GATE NO.9-C SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 08:00:03.240,mis,NULL,NULL
49,904,GATE NO.9-D SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 08:00:24.443,mis,NULL,NULL
50,1002,GATE NO.10-B SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 08:00:48.263,mis,NULL,NULL
51,1003,GATE NO.10-C SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 08:01:08.927,mis,NULL,NULL
52,1004,GATE NO.10-D SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 08:01:28.170,mis,NULL,NULL
53,1102,GATE NO.11-B SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 08:01:45.777,mis,NULL,NULL
54,1103,GATE NO.11-C SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 08:02:06.063,mis,NULL,NULL
55,1104,GATE NO.11-D SWADAYA WAREHOUSE,SWADAYA,NULL,2017-03-21 08:02:30.023,mis,NULL,NULL
56,403,GATE NO.4-C KARAWANG WAREHOUSE,KARAWANG,NULL,2017-12-09 01:20:07.337,nlockr1,NULL,NULL
57,303,GATE NO.3-C KARAWANG WAREHOUSE,KARAWANG,NULL,2017-12-09 01:22:31.110,nlockr1,NULL,NULL
58,803,GATE NO.8-C KARAWANG WAREHOUSE,KARAWANG,NULL,2017-12-18 22:14:35.537,nlockr1,NULL,NULL
59,101,GATE NO.1-A SURABAYA WAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:17:17.823,administrator,NULL,NULL
60,201,GATE NO.2-A SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:17:32.603,administrator,NULL,NULL
61,202,GATE NO.2-B SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:17:52.103,administrator,NULL,NULL
62,301,GATE NO.3-A SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:18:05.317,administrator,NULL,NULL
63,302,GATE NO.3-B SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:18:24.550,administrator,NULL,NULL
64,401,GATE NO.4-A SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:18:50.927,administrator,NULL,NULL
65,402,GATE NO.4-B SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:19:06.850,administrator,NULL,NULL
66,501,GATE NO.5-A SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:19:19.917,administrator,NULL,NULL
67,502,GATE NO.5-B SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:19:41.607,administrator,NULL,NULL
68,601,GATE NO.6-A SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:24:43.943,administrator,NULL,NULL
69,602,GATE NO.6-B SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:24:57.843,administrator,NULL,NULL
70,701,GATE NO.7-A SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:25:15.370,administrator,NULL,NULL
71,702,GATE NO.7-B SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:25:33.913,administrator,NULL,NULL
72,801,GATE NO.B-A SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:25:53.037,administrator,NULL,NULL
73,802,GATE NO.8-B SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:26:12.120,administrator,NULL,NULL
74,901,GATE NO.9-A SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:26:25.383,administrator,NULL,NULL
75,902,GATE NO.9-B SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:26:42.287,administrator,NULL,NULL
76,1001,GATE NO.10-A SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:27:00.687,administrator,NULL,NULL
77,1002,GATE NO.10-B SURABAYAWAREHOUSE,SURABAYA HUB,NULL,2018-04-02 15:27:20.017,administrator,NULL,NULL
78,203,GATE NO.2-C KARAWANG WAREHOUSE,KARAWANG,NULL,2018-04-30 09:11:51.427,nlockr1,NULL,NULL
79,903,GATE NO.9-C KARAWANG WAREHOUSE,KARAWANG,NULL,2019-02-06 08:42:13.483,nlockr1,NULL,NULL
