21,BENCULUK,NULL,system,NULL,NULL
210,TIMIKA,NULL,system,NULL,NULL
211,TOBELO,NULL,system,NULL,NULL
213,TOLI-TOLI,NULL,system,NULL,NULL
214,TONDANO,NULL,system,NULL,NULL
215,TRENGGALEK,NULL,system,NULL,NULL
216,TUBAN,NULL,system,NULL,NULL
218,TULUNGAGUNG,NULL,system,NULL,NULL
219,TUNGKAL,NULL,system,NULL,NULL
22,BENGKULU,NULL,system,NULL,NULL
220,UJUNG BATU,NULL,system,NULL,NULL
221,UJUNG GADING,NULL,system,NULL,NULL
222,WAY JEPARA,NULL,system,NULL,NULL
223,WAY KANAN,NULL,system,NULL,NULL
224,WONOMULYO,NULL,system,NULL,NULL
225,WONOGIRI,NULL,system,NULL,NULL
226,YOGYAKARTA,NULL,system,NULL,NULL
227,ACEH,NULL,system,NULL,NULL
228,BANYUMAS,NULL,system,NULL,NULL
229,CENGKARENG,NULL,system,NULL,NULL
23,BERAU,NULL,system,NULL,NULL
230,CILACAP,NULL,system,NULL,NULL
231,GOMBONG,NULL,system,NULL,NULL
232,KALIMALANG,NULL,system,NULL,NULL
233,KRAMAT RAYA,NULL,system,NULL,NULL
24,BIAK,NULL,system,NULL,NULL
248,MANADO - TOKO,NULL,system,NULL,NULL
25,BLITAR,NULL,system,NULL,NULL
252,PEKANBARU,NULL,system,NULL,NULL
253,PURBALINGGA,NULL,system,NULL,NULL
254,SAROLANGUN,NULL,system,NULL,NULL
256,TANJUNG UBAN,NULL,system,NULL,NULL
257,PRABUMULIH,NULL,NULL,NULL,NULL
258,LAHAT,NULL,NULL,NULL,NULL
26,BLORA,NULL,system,NULL,NULL
27,BOGOR,NULL,system,NULL,NULL
28,BOJONEGORO,NULL,system,NULL,NULL
29,BONDOWOSO,NULL,system,NULL,NULL
3,AMPANA,NULL,system,NULL,NULL
30,BONE,NULL,system,NULL,NULL
31,BONTANG,NULL,system,NULL,NULL
32,BREBES,NULL,system,NULL,NULL
33,BUKIT TINGGI,NULL,system,NULL,NULL
34,BULUKUMBA,NULL,system,NULL,NULL
35,BUOL,NULL,system,NULL,NULL
36,CARUBAN,NULL,system,NULL,NULL
37,CEPU,NULL,system,NULL,NULL
38,CIAMIS,NULL,system,NULL,NULL
39,CIANJUR,NULL,system,NULL,NULL
4,AMURANG,NULL,system,NULL,NULL
40,CIBITUNG,NULL,system,NULL,NULL
41,CIBUBUR,NULL,system,NULL,NULL
42,CIKAMPEK,NULL,system,NULL,NULL
43,CIKARANG,NULL,system,NULL,NULL
44,CIKUPA,NULL,system,NULL,NULL
45,CILEGON,NULL,system,NULL,NULL
46,CILEUNGSI,NULL,system,NULL,NULL
47,CIOMAS,NULL,system,NULL,NULL
48,CIPUTAT,NULL,system,NULL,NULL
49,CIRACAS,NULL,system,NULL,NULL
5,BABAT,NULL,system,NULL,NULL
50,CIREBON,NULL,system,NULL,NULL
51,CURUP,NULL,system,NULL,NULL
52,DENPASAR,NULL,system,NULL,NULL
53,DEPOK,NULL,system,NULL,NULL
54,DHAMAS RAYA,NULL,system,NULL,NULL
55,DUMAI,NULL,system,NULL,NULL
56,DURI,NULL,system,NULL,NULL
57,ENDE,NULL,system,NULL,NULL
58,FAK FAK,NULL,system,NULL,NULL
