3D1010,HQ,JABODETABEK,2017-02-01 00:00:00.000,administrator,2020-11-25 15:37:23.123,mis5,10
3D1013,HQ-BANDUNG,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:38:03.500,mis5,13
3D1014,HQ-CIREBON,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:38:52.640,mis5,14
3D1015,HQ-SEMARANG,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:39:13.267,mis5,15
3D1016,HQ-YOGYAKARTA,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:42:34.737,mis5,16
3D1017,HQ-PURWOKERTO,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:42:50.923,mis5,17
3D1018,HQ-KEDIRI,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:43:07.300,mis5,18
3D1019,HQ-SURABAYA,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:43:22.673,mis5,19
3D1020,HQ-DENPASAR,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:43:35.363,mis5,20
3D1021,HQ-SAMARINDA,KALIMANTAN,2017-02-01 00:00:00.000,administrator,2020-11-25 15:39:47.953,mis5,21
3D1022,HQ-BANJARMASIN,KALIMANTAN,2017-02-01 00:00:00.000,administrator,2020-11-25 15:41:05.030,mis5,22
3D1023,HQ-PALEMBANG,SUMATERA,2017-02-01 00:00:00.000,administrator,2020-11-25 15:43:52.300,mis5,23
3D1024,HQ-PADANG,SUMATERA,2017-02-01 00:00:00.000,administrator,2020-11-25 15:44:05.753,mis5,24
3D1025,HQ-PEKAN BARU,SUMATERA,2017-02-01 00:00:00.000,administrator,2020-11-25 15:44:18.300,mis5,25
3D1026,HQ-MALANG,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:44:31.753,mis5,26
3D1027,HQ-MEDAN,SUMATERA,2017-02-01 00:00:00.000,administrator,2020-11-25 15:44:47.973,mis5,27
3D1028,HQ-MAKASSAR,SULAWESI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:45:47.130,mis5,28
3D1029,HQ-LAMPUNG,SUMATERA,2017-02-01 00:00:00.000,administrator,2020-11-25 15:46:05.223,mis5,29
3D1030,HQ-PONTIANAK,KALIMANTAN,2017-02-01 00:00:00.000,administrator,2020-11-25 15:46:19.613,mis5,30
3D1031,HQ-MANADO,SULAWESI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:46:30.973,mis5,31
3D1032,HQ-BOGOR,JABODETABEK,2017-02-01 00:00:00.000,administrator,2020-11-25 15:46:45.537,mis5,32
3D1033,HQ-JAMBI,SUMATERA,2017-02-01 00:00:00.000,administrator,2020-11-25 15:46:58.020,mis5,33
3D1034,HQ-KENDARI,SULAWESI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:47:15.647,mis5,34
3D1035,HQ-TARAKAN,SULAWESI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:47:58.943,mis5,35
3D1036,HQ-PALU,SULAWESI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:48:12.973,mis5,36
3D1037,HQ-BATAM,SUMATERA,2017-02-01 00:00:00.000,administrator,2020-11-25 15:48:24.473,mis5,37
3D1038,HQ-SERANG,JABODETABEK,2017-02-01 00:00:00.000,administrator,2020-11-25 15:48:42.117,mis5,38
3D1039,HQ-JEMBER,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:49:14.677,mis5,39
3D1040,HQ-ACEH,SUMATERA,2017-02-01 00:00:00.000,administrator,2020-11-25 15:49:01.727,mis5,40
3D1041,HQ-KARAWANG,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:49:28.007,mis5,41
3D1042,JAKARTA-LOMBOK,JAVA & BALI,2019-03-27 09:23:04.117,LOGKR1,NULL,NULL,20
3D1080,HQ-SURABAYA HUB,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2020-11-25 15:50:01.133,mis5,80
3D1091,HQ-BATAM,SUMATERA,2020-02-04 08:04:17.443,mis4,2020-11-25 15:50:47.790,mis5,91
3D1092,HQ-LOMBOK,JAVA & BALI,2020-02-03 08:50:49.220,mis4,2020-11-25 15:50:38.413,mis5,92
3D1093,HQ-TASIK,JAVA & BALI,2020-02-04 08:09:58.093,mis4,2020-11-25 15:51:00.070,mis5,93
3D1094,HQ-JEMBER SBY,JAVA & BALI,2021-01-14 10:26:54.663,mis5,NULL,NULL,94
3D1313,BANDUNG,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2017-10-31 12:21:47.790,logkr2,NULL
3D1414,CIREBON,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2017-02-24 13:26:06.847,missdy,NULL
3D1515,SEMARANG,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2017-02-24 13:26:24.983,missdy,NULL
3D1616,YOGYAKARTA,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2017-02-24 13:26:40.007,missdy,NULL
3D1717,PURWOKERTO,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2017-02-24 13:26:53.247,missdy,NULL
3D1818,KEDIRI,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2017-02-24 13:27:04.913,missdy,NULL
3D1919,SURABAYA,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2017-02-24 13:27:14.827,missdy,NULL
3D2020,DENPASAR,JAVA & BALI,2017-02-01 00:00:00.000,administrator,2017-02-24 13:27:24.263,missdy,NULL
