57,KARAWANG,26,CEH,Z3D005,4390718.000,0.000,0.000,0,3,NULL,logkr2,NULL,NULL
59,KARAWANG,231,CEH,Z3D005,5062239.000,0.000,0.000,0,2,NULL,logkr2,NULL,NULL
60,KARAWANG,75,CEH,Z3D005,4158268.000,0.000,0.000,0,2,NULL,logkr2,NULL,NULL
61,KARAWANG,77,CEH,Z3D005,4339062.000,0.000,0.000,0,2,NULL,logkr2,NULL,NULL
62,KARAWANG,80,CEH,Z3D005,5062239.000,0.000,0.000,0,2,NULL,logkr2,NULL,NULL
63,KARAWANG,91,CEH,Z3D005,3925818.000,0.000,0.000,0,2,NULL,logkr2,NULL,NULL
64,KARAWANG,155,CEH,Z3D005,4158268.000,0.000,0.000,0,2,NULL,logkr2,NULL,NULL
65,KARAWANG,157,CEH,Z3D005,3901023.000,0.000,0.000,0,2,NULL,logkr2,NULL,NULL
66,KARAWANG,253,CEH,Z3D005,4571512.000,0.000,0.000,0,3,NULL,logkr2,NULL,NULL
67,KARAWANG,167,CEH,Z3D005,4339062.000,0.000,0.000,0,3,NULL,logkr2,NULL,NULL
69,KARAWANG,186,CEH,Z3D005,4339062.000,0.000,0.000,0,3,NULL,logkr2,NULL,NULL
70,KARAWANG,226,CEH,Z3D005,4339062.000,0.000,0.000,0,3,NULL,logkr2,NULL,NULL
71,SWADAYA,101,DDT,LCL,0.000,0.000,204700.000,0,7,NULL,logkr2,NULL,NULL
72,KARAWANG,101,DDT,LCL,0.000,0.000,204700.000,0,7,NULL,logkr2,NULL,NULL
73,SWADAYA,8,E8T,Z3D002,0.000,0.000,75339.000,0,2,NULL,logkr2,NULL,NULL
74,SWADAYA,8,E8T,Z3D004,0.000,0.000,75339.000,0,2,NULL,logkr2,NULL,NULL
75,SWADAYA,8,E8T,Z3D001,600000.000,0.000,0.000,0,2,NULL,logkr2,2017-10-30 09:09:24.897,logkr2
76,SWADAYA,20,E8T,Z3D002,0.000,0.000,61082.000,0,1,NULL,logkr2,NULL,NULL
77,SWADAYA,20,E8T,Z3D004,0.000,0.000,61082.000,0,1,NULL,logkr2,NULL,NULL
78,SWADAYA,20,E8T,Z3D001,450000.000,0.000,0.000,0,1,NULL,logkr2,2017-10-30 09:16:03.737,logkr2
79,SWADAYA,27,E8T,Z3D002,0.000,0.000,80218.000,0,1,NULL,logkr2,NULL,NULL
80,SWADAYA,27,E8T,Z3D004,0.000,0.000,80218.000,0,1,NULL,logkr2,NULL,NULL
81,SWADAYA,27,E8T,Z3D001,570000.000,0.000,0.000,0,1,NULL,logkr2,2017-10-30 09:37:50.077,logkr2
82,SWADAYA,39,E8T,Z3D002,0.000,0.000,75339.000,0,2,NULL,logkr2,NULL,NULL
83,SWADAYA,39,E8T,Z3D004,0.000,0.000,75339.000,0,2,NULL,logkr2,NULL,NULL
85,SWADAYA,42,E8T,Z3D002,0.000,0.000,71426.000,0,1,NULL,logkr2,NULL,NULL
86,SWADAYA,42,E8T,Z3D004,0.000,0.000,71426.000,0,1,NULL,logkr2,NULL,NULL
87,SWADAYA,42,E8T,Z3D001,470000.000,0.000,0.000,0,1,NULL,logkr2,2017-10-30 09:38:32.893,logkr2
88,SWADAYA,43,E8T,Z3D002,0.000,0.000,61082.000,0,1,NULL,logkr2,NULL,NULL
89,SWADAYA,43,E8T,Z3D004,0.000,0.000,61082.000,0,1,NULL,logkr2,NULL,NULL
90,SWADAYA,43,E8T,Z3D001,450000.000,0.000,0.000,0,1,NULL,logkr2,2017-10-30 09:38:53.967,logkr2
91,SWADAYA,45,E8T,Z3D002,0.000,0.000,86942.000,0,1,NULL,logkr2,NULL,NULL
92,SWADAYA,45,E8T,Z3D004,0.000,0.000,86942.000,0,1,NULL,logkr2,NULL,NULL
94,SWADAYA,50,E8T,Z3D004,0.000,0.000,75339.000,0,2,NULL,logkr2,NULL,NULL
95,SWADAYA,53,E8T,Z3D002,0.000,0.000,78667.000,0,1,NULL,logkr2,NULL,NULL
96,SWADAYA,53,E8T,Z3D004,0.000,0.000,78667.000,0,1,NULL,logkr2,NULL,NULL
97,SWADAYA,53,E8T,Z3D001,550000.000,0.000,0.000,0,1,NULL,logkr2,2017-10-30 09:39:33.510,logkr2
98,SWADAYA,64,E8T,Z3D002,0.000,0.000,74529.000,0,1,NULL,logkr2,NULL,NULL
99,SWADAYA,64,E8T,Z3D004,0.000,0.000,74529.000,0,1,NULL,logkr2,NULL,NULL
100,SWADAYA,64,E8T,Z3D001,520000.000,0.000,0.000,0,1,NULL,logkr2,2017-10-30 09:39:53.897,logkr2
101,SWADAYA,79,E8T,Z3D002,0.000,0.000,61082.000,0,1,NULL,logkr2,NULL,NULL
102,SWADAYA,79,E8T,Z3D004,0.000,0.000,61082.000,0,1,NULL,logkr2,NULL,NULL
103,SWADAYA,79,E8T,Z3D001,390000.000,0.000,0.000,0,1,NULL,logkr2,2017-10-30 09:40:16.063,logkr2
104,SWADAYA,142,E8T,Z3D002,0.000,0.000,62926.000,0,2,NULL,logkr2,NULL,NULL
105,SWADAYA,142,E8T,Z3D004,0.000,0.000,62926.000,0,2,NULL,logkr2,NULL,NULL
106,SWADAYA,142,E8T,Z3D001,470000.000,0.000,0.000,0,2,NULL,logkr2,2017-10-30 09:40:38.403,logkr2
107,SWADAYA,165,E8T,Z3D002,0.000,0.000,71426.000,0,1,NULL,logkr2,NULL,NULL
108,SWADAYA,165,E8T,Z3D004,0.000,0.000,71426.000,0,1,NULL,logkr2,NULL,NULL
109,SWADAYA,165,E8T,Z3D001,470000.000,0.000,0.000,0,1,NULL,logkr2,2017-10-30 09:40:54.930,logkr2
110,SWADAYA,180,E8T,Z3D002,0.000,0.000,86942.000,0,1,NULL,logkr2,NULL,NULL
111,SWADAYA,180,E8T,Z3D004,0.000,0.000,86942.000,0,1,NULL,logkr2,NULL,NULL
113,SWADAYA,190,E8T,Z3D002,0.000,0.000,75339.000,0,1,NULL,logkr2,NULL,NULL
114,SWADAYA,190,E8T,Z3D004,0.000,0.000,75339.000,0,1,NULL,logkr2,NULL,NULL
116,SWADAYA,197,E8T,Z3D002,0.000,0.000,80736.000,0,1,NULL,logkr2,NULL,NULL
117,SWADAYA,197,E8T,Z3D004,0.000,0.000,80736.000,0,1,NULL,logkr2,NULL,NULL
118,SWADAYA,197,E8T,Z3D001,580000.000,0.000,0.000,0,1,NULL,logkr2,2017-10-30 09:41:36.287,logkr2
122,KARAWANG,20,E8T,Z3D004,0.000,0.000,70082.000,0,1,NULL,logkr2,2020-01-23 09:09:51.660,logkr2
123,KARAWANG,20,E8T,Z3D002,0.000,0.000,70082.000,0,1,NULL,logkr2,2020-01-28 11:32:28.180,logkr2
124,KARAWANG,20,E8T,Z3D001,550000.000,0.000,0.000,0,1,NULL,logkr2,2020-01-28 11:41:12.787,logkr2
125,KARAWANG,27,E8T,Z3D004,0.000,0.000,89218.000,0,1,NULL,logkr2,2020-01-28 11:40:09.237,logkr2
126,KARAWANG,27,E8T,Z3D002,0.000,0.000,89218.000,0,1,NULL,logkr2,2020-01-28 11:39:55.830,logkr2
127,KARAWANG,27,E8T,Z3D001,690000.000,0.000,0.000,0,1,NULL,logkr2,2020-01-28 11:40:52.223,logkr2
128,KARAWANG,38,E8T,Z3D004,0.000,0.000,75339.000,0,2,NULL,logkr2,NULL,NULL
129,KARAWANG,38,E8T,Z3D002,0.000,0.000,75339.000,0,2,NULL,logkr2,NULL,NULL
130,KARAWANG,39,E8T,Z3D004,0.000,0.000,75339.000,0,2,NULL,logkr2,NULL,NULL
131,KARAWANG,39,E8T,Z3D002,0.000,0.000,75339.000,0,2,NULL,logkr2,NULL,NULL
132,KARAWANG,39,E8T,Z3D001,600000.000,0.000,0.000,0,2,NULL,logkr2,2017-10-30 09:04:48.890,logkr2
133,KARAWANG,42,E8T,Z3D004,0.000,0.000,80426.000,0,1,NULL,logkr2,2020-01-28 11:59:15.670,logkr2
134,KARAWANG,42,E8T,Z3D002,0.000,0.000,80426.000,0,1,NULL,logkr2,2020-01-28 11:49:50.737,logkr2
135,KARAWANG,42,E8T,Z3D001,480000.000,0.000,0.000,0,1,NULL,logkr2,2020-01-28 12:01:22.640,logkr2
136,KARAWANG,43,E8T,Z3D004,0.000,0.000,70082.000,0,1,NULL,logkr2,2020-01-28 13:36:26.903,logkr2
137,KARAWANG,43,E8T,Z3D002,0.000,0.000,70082.000,0,1,NULL,logkr2,2020-01-28 13:35:06.837,logkr2
138,KARAWANG,43,E8T,Z3D001,550000.000,0.000,0.000,0,1,NULL,logkr2,2020-01-28 13:42:22.957,logkr2
139,KARAWANG,45,E8T,Z3D004,0.000,0.000,95942.000,0,1,NULL,logkr2,2020-01-28 14:06:18.967,logkr2
140,KARAWANG,45,E8T,Z3D002,0.000,0.000,95942.000,0,1,NULL,logkr2,2020-01-28 14:06:02.890,logkr2
142,KARAWANG,53,E8T,Z3D004,0.000,0.000,87667.000,0,1,NULL,logkr2,2020-01-28 14:12:25.757,logkr2
143,KARAWANG,53,E8T,Z3D002,0.000,0.000,87667.000,0,1,NULL,logkr2,2020-01-28 14:11:17.113,logkr2
144,KARAWANG,53,E8T,Z3D001,670000.000,0.000,0.000,0,1,NULL,logkr2,2020-01-28 14:13:06.463,logkr2
145,KARAWANG,64,E8T,Z3D004,0.000,0.000,83529.000,0,1,NULL,logkr2,2020-01-28 14:18:57.187,logkr2
146,KARAWANG,64,E8T,Z3D002,0.000,0.000,83529.000,0,1,NULL,logkr2,2020-01-28 14:18:25.667,logkr2
147,KARAWANG,64,E8T,Z3D001,630000.000,0.000,0.000,0,1,NULL,logkr2,2020-01-28 14:19:19.280,logkr2
148,KARAWANG,79,E8T,Z3D004,0.000,0.000,70082.000,0,1,NULL,logkr2,2020-01-28 14:30:44.037,logkr2
149,KARAWANG,79,E8T,Z3D002,0.000,0.000,70082.000,0,1,NULL,logkr2,2020-01-28 14:29:44.973,logkr2
150,KARAWANG,79,E8T,Z3D001,480000.000,0.000,0.000,0,1,NULL,logkr2,2020-01-28 14:32:09.513,logkr2
153,KARAWANG,142,E8T,Z3D001,470000.000,0.000,0.000,0,2,NULL,logkr2,2017-10-30 09:07:14.787,logkr2
154,KARAWANG,165,E8T,Z3D004,0.000,0.000,80426.000,0,1,NULL,logkr2,2020-01-28 14:36:16.877,logkr2
155,KARAWANG,165,E8T,Z3D002,0.000,0.000,80426.000,0,1,NULL,logkr2,2020-01-28 14:35:45.563,logkr2
157,KARAWANG,180,E8T,Z3D004,0.000,0.000,95942.000,0,1,NULL,logkr2,2020-01-28 14:39:46.803,logkr2
158,KARAWANG,180,E8T,Z3D002,0.000,0.000,95942.000,0,1,NULL,logkr2,2020-01-28 14:39:13.957,logkr2
160,KARAWANG,190,E8T,Z3D004,0.000,0.000,92839.000,0,1,NULL,logkr2,2020-01-28 14:55:27.080,logkr2
161,KARAWANG,190,E8T,Z3D002,0.000,0.000,92839.000,0,1,NULL,logkr2,2020-01-28 14:42:27.680,logkr2
