NO.,MODEL,Harga karton box
207,SJ-F203G-LBK,79500
208,SJ-F231S-RD,84500
209,SJ-F231S-RDK,84500
210,SJ-F232G-ZSK,84500
211,SJ-F232G-ZSK,84500
212,SJ-F232K-ZS,84500
213,SJ-F236G-SSK,84500
255,SJ-G170T-ZS,66500
214,SJ-G174TUS,73500
215,SJ-G175T-US,73500
216,SJ-G204T-US,79500
217,SJ-GF60W-AY,377000
218,SJ-K172T-ZS,73500
219,SJ-M151T-UW,66500
220,SJ-M152T-SL,73500
221,SJ-M152T-SL,73500
222,SJ-M152T-SL,73500
223,SJ-M155C-SS,73500
224,SJ-M170T-FP,73500
225,SJ-M170T-FW,73500
226,SJ-M172T-TS,73500
227,SJ-M172T-TS,73500
228,SJ-M192T-ZS,73500
229,SJ-P760NLV-SL,313500
230,SJ-P761NLV-BK,313500
231,SJ-P761NLV-SL,313500
247,SJ-P860NLV-BK,313500
232,SJ-P861NLV-BK,313500
233,SJ-S170T-RD,73500
234,SJ-S200T-RD,73500
235,SJ-X63WD-SL,346000
236,SWD-199BL(N),40500
237,SWD-299,40500
238,SWD-399BL,34000
239,SWD-399BL,34000
240,SWD-399GR,34000
241,SWD-75EHL-BD,73500
242,WJ-500-BK,59000
243,WJ-500-WH,73500
244,ES-T75E-HK,66500
245,KZ-90L(W),56000
246,SCH-212PB,121500
247,SJ-225MD-FW,84500
248,SJ-305GC-SD,84500
249,SJ-305MD-FW,84500
250,SJ-M180D-FP,73500
251,SJ-M190D-FP,73500
,SJ-M190D-FB,73500
252,SJ-P471NLV-SL,346000
253,SWD-68EH-BK,73500
254,LC-40LE265M,102500
255,LC-32LE107I,40500
256,AU-A5NSY,56000
257,CBOX-ASP250BL2,66500
258,SJ-M190D-FW,73500
259,SJ-M190D-FW,73500
260,ES-T96CA-BK,73500
261,ES-T96CA-PK,73500
262,ES-T96CA-VK,73500
263,ES-T85CR-BK,73500
264,SJ-G180C-SD,73500
265,LC-32LE265M,132000
266,ES-T88CA-VHK,73500
267,CBOX-B880UBL,92500
268,SJ-P861NLV-SL,313500
269,AU-A9RLY,66500
270,AH-XP13NRY,56000
271,AU-X13NY,56000
272,SJ-M180D-FW,73500
273,SJ-235MF-US,84500
274,SJ-235MD-FB,84500
275,AU-A5PEY,66500
276,AU-AP9RLY,66500
277,SJ-BS30E-SL,148500
278,SJ-225MD-FP,84500
279,SJ-420FF-SSK,92500
280,SJ-225MF-US,84500
281,LC-32DX888I-WHY,73500
282,SJ-P471NLV-BK,346000
283,ES-T77F-PBK,66500
284,SJ-195MD-FB,84500
285,SJ-195MD-FW,84500
,SJ-195MD-FP,84500
,SJ-195MD-SR,84500
,SJ-315SC-ST,84500
,LC-32DX888I,73500
,AH-A5SEY,112000
,ES-T75MW-HK,66500
,SJ-M180F-SS,73500
,SJ-225MD-FB,84500
,SJ-235MD-FP,84500
,SJ-235SC-ST,84500
,SJ-235GC-SP,84500
,SJ-235GC-SS,84500
,SJ-235GC-SD,84500
,SJ-F191M-FS,84500
,ES-T85CR-VK,73500
,ES-T95CR-VK,73500
,SJ-F201S-BKK,84500
,ES-T85CR-PK,73500
,ES-T1090-VK,79500
,ES-T1090-BK,79500
,SJ-235MF-US,84500
,SJ-M180D-FB,73500
,LC-60LE960X,629000
,LC-32LE260M,79500
,AU-A5SEY,40500
,AU-A5UEY,40500
,AU-A9UEY,40500
,AH-X9SEY,40500
,LC-19LE150M,56000
,PB2-0509,7000
,AH-A9SEY,48500
,AH-A9SEY2,48500
,EO-18L(W),16000
,EO-28LP(K),73500
,SJ-235MD-FW,84500
,SJ-235MD-FD,84500
,SJ-315MD-FB,84500
,IB-SD23Y-N,34000
,LC-32LE384I,40500
,SWD-72EH-WH,79500
,SWD-70EHL-SL,73500
,AU-A18SCY,132000
,ES-F800H,102500
,SJ-P570NLV-SL,377000
,AH-A12SCY,112000
,ES-T1090-PK,79500
,SJ-305MD-FP,84500
,SJ-305MD-FB,84500
,ES-T86CL-HK,148500
,KZS-80LP(K),34000
,SJ-BW30D-BK,172500
,AU-A5NLY,79500
,AU-A12RLY,56500
,AU-A18MSY,224500
,AU-A5NCY-LV,132000
,AH-A12PEY,73500
,AH-AP7NSY,73500
,AH-AP9SHL,48500
