49,Z3D003,S36,DN 8592 VF,,2018-11-21 08:57:04.353,99mis,2018-11-21 09:16:43.873,99mis,,,,3D3636,1
50,Z3D003,S36,DN 8412 DB,,2018-11-21 08:57:25.183,99mis,2018-11-21 09:17:07.973,99mis,,,,3D3636,1
51,Z3D003,S36,DD 8490 MQ,,2018-11-21 08:57:48.747,99mis,2018-11-21 09:16:32.660,99mis,,,,3D3636,1
52,Z3D003,S36,DN 8630 DD,,2018-11-21 08:58:07.307,99mis,2018-11-21 09:17:59.097,99mis,,,,3D3636,1
53,Z3D003,S36,DN 8480 KU,,2018-11-21 08:58:31.760,99mis,2018-11-21 09:17:15.623,99mis,,,,3D3636,1
54,Z3D003,S36,DD 8436 XI,,2018-11-21 08:59:01.697,99mis,2018-11-21 09:16:21.117,99mis,,,,3D3636,1
55,Z3D003,S36,DN 8561 VG,,2018-11-21 08:59:31.573,99mis,2018-11-21 09:16:52.417,99mis,,,,3D3636,1
56,Z3D002,S34,B 9816 UAN,,2018-11-21 09:02:17.947,99mis,2018-11-21 09:12:24.140,99mis,,,,3D3434,1
57,Z3D003,S34,B 9460 FH,,2018-11-21 09:02:44.590,99mis,2018-11-21 09:12:10.093,99mis,,,,3D3434,1
58,Z3D003,S34,B 9250 UCS,,2018-11-21 09:03:28.857,99mis,2018-11-21 09:12:02.157,99mis,,,,3D3434,1
59,Z3D003,S34,B 9219 UDG,,2018-11-21 09:03:56.170,99mis,2018-11-21 09:11:52.687,99mis,,,,3D3434,1
61,Z3D004,S34,DW 9605 AB,,2018-11-21 09:04:42.590,99mis,2018-11-21 09:09:00.267,99mis,,,,3D3434,1
62,Z3D004,S34,DW 8901 AE,,2018-11-21 09:05:06.357,99mis,2018-11-21 09:09:17.673,99mis,,,,3D3434,1
63,Z3D004,S34,DT 9607 GE,,2018-11-21 09:05:31.777,99mis,2018-11-21 09:10:41.123,99mis,,,,3D3434,1
64,Z3D004,S34,DD 8420 KR,,2018-11-21 09:05:52.683,99mis,2018-11-21 09:11:26.733,99mis,,,,3D3434,1
65,Z3D003,S34,DB 8950 AV,,2018-11-21 09:06:13.983,99mis,2018-11-21 09:12:39.360,99mis,,,,3D3434,1
66,Z3D003,S34,DT 8944 XE,,2018-11-21 09:06:35.437,99mis,2018-11-21 09:10:59.060,99mis,,,,3D3434,1
67,Z3D003,S34,DT 9069 AH,,2018-11-21 09:06:59.547,99mis,2018-11-21 09:10:50.390,99mis,,,,3D3434,1
68,Z3D004,S34,DD 9705 AH,,2018-11-21 09:07:18.920,99mis,2018-11-21 09:11:18.907,99mis,,,,3D3434,1
69,Z3D003,S34,DT 9664 BE,,2018-11-21 09:07:39.827,99mis,2018-11-21 09:10:21.140,99mis,,,,3D3434,1
86,Z3D001,P17,B 9290 TAU,,2018-11-21 10:11:27.180,99mis,NULL,NULL,,,,3D1717,1
87,Z3D002,P17,B 9595 TYX,,2018-11-21 10:11:54.763,99mis,NULL,NULL,,,,3D1717,1
