41,Z3D005,TLG,G 1942 KE,NULL,2017-02-24 18:40:28.620,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
42,Z3D005,TLG,G 1857 ME,NULL,2017-02-24 18:40:28.700,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
43,Z3D013,TLG,H 1865 EA,,2017-02-24 18:40:28.780,NULL,2017-03-15 15:04:10.980,LOGKR3,,,,,1
44,Z3D005,TLG,B 9296 KEU,NULL,2017-02-24 18:40:28.860,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
45,Z3D005,TLG,H 1925 EA,NULL,2017-02-24 18:40:28.940,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
46,Z3D005,TLG,H 1920 EA,NULL,2017-02-24 18:40:29.023,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
47,Z3D014,TLG,H 1947 EA,,2017-02-24 18:40:29.103,NULL,2017-07-31 08:23:00.820,nlspvkr2,,,,,1
48,Z3D005,TLG,H 1973 EA,NULL,2017-02-24 18:40:29.183,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
49,Z3D005,TLG,H 1991 EF,NULL,2017-02-24 18:40:29.260,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
50,Z3D005,TLG,H 1832 BQ,NULL,2017-02-24 18:40:29.343,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
51,Z3D005,TLG,H 1900 EH,NULL,2017-02-24 18:40:29.420,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
52,Z3D005,TLG,B 9162 FEU,NULL,2017-02-24 18:40:29.510,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
53,Z3D005,TLG,B 9163 FEU,NULL,2017-02-24 18:40:29.590,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
54,Z3D005,TLG,B 9164 FEU,NULL,2017-02-24 18:40:29.670,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1
